"PC1" "PC2" "PC3" "Population" "Superpopulation"
"HG00473" -90.534062189153 -114.875115386903 7.17485840553686 "CHS" "EAS"
"HG00475" -92.478184230843 -113.226025243915 9.0940576163811 "CHS" "EAS"
"HG00476" -92.2422946710804 -114.082811596362 6.69816403966984 "CHS" "EAS"
"HG00478" -93.4535883805217 -115.426348154107 9.77308289917227 "CHS" "EAS"
"HG00479" -92.4703527122413 -111.896946975088 7.95295137578937 "CHS" "EAS"
"HG00500" -92.2507355333176 -112.609725538414 8.81274618024712 "CHS" "EAS"
"HG00513" -93.4737569030523 -115.252172992033 8.85240787694646 "CHS" "EAS"
"HG00524" -93.7342627199948 -113.951047937283 10.0631100809299 "CHS" "EAS"
"HG00525" -91.5029583255211 -112.139018249577 10.0880436843038 "CHS" "EAS"
"HG00530" -91.5370004755642 -114.1076657639 7.97047093613882 "CHS" "EAS"
"HG00531" -91.6087139315594 -112.52825859573 9.31559703857 "CHS" "EAS"
"HG00533" -92.9564262401192 -113.868838705339 8.67699742010084 "CHS" "EAS"
"HG00534" -92.4787930159654 -113.201840811113 10.7042993485678 "CHS" "EAS"
"HG00536" -91.1983715493837 -112.918263992482 7.87901646251023 "CHS" "EAS"
"HG00537" -92.4347692703674 -116.3366900235 10.1517076670978 "CHS" "EAS"
"HG00542" -91.7105787615079 -112.677460280301 8.0584557493488 "CHS" "EAS"
"HG00543" -92.6468993184841 -115.347253209744 8.592591769501 "CHS" "EAS"
"HG00551" -25.9296181665846 65.5068561711537 32.234824498456 "PUR" "AMR"
"HG00553" -8.05745632145529 48.9930573106105 32.6075258557311 "PUR" "AMR"
"HG00554" -25.6565901925014 70.0723550968097 25.9341192649667 "PUR" "AMR"
"HG00556" -93.038766282358 -112.737933509647 9.06510716712291 "CHS" "EAS"
"HG00557" -93.1464317869536 -115.233016221578 13.0807864215119 "CHS" "EAS"
"HG00559" -91.520505848216 -111.789088242872 9.90525110769828 "CHS" "EAS"
"HG00560" -93.4509304577943 -116.340603942185 6.35886942352649 "CHS" "EAS"
"HG00565" -92.4095580995143 -115.738064225291 10.9601620943048 "CHS" "EAS"
"HG00566" -93.8758480586427 -115.342263981942 10.8758287159667 "CHS" "EAS"
"HG00580" -92.593330726743 -115.139086430809 7.13210991959243 "CHS" "EAS"
"HG00581" -92.776970777302 -113.182438163275 7.97852777706808 "CHS" "EAS"
"HG00583" -92.5167423775 -114.871202260193 6.86050013147854 "CHS" "EAS"
"HG00584" -90.8121335521913 -114.143473116987 8.89725526518387 "CHS" "EAS"
"HG00589" -92.6121209180959 -112.734158314115 7.95508399210301 "CHS" "EAS"
"HG00590" -91.7673357347921 -108.968105337512 5.80279807588764 "CHS" "EAS"
"HG00592" -91.987659779096 -109.578547888617 11.6364248568196 "CHS" "EAS"
"HG00593" -92.899536953468 -115.729967417186 8.69569326720271 "CHS" "EAS"
"HG00595" -94.1832074670865 -114.984566996144 7.29852810095258 "CHS" "EAS"
"HG00596" -92.8055583068291 -116.350444520407 7.11781473135803 "CHS" "EAS"
"HG00598" -94.1746445933114 -115.842890856326 9.01266068937874 "CHS" "EAS"
"HG00599" -92.3742681451 -112.893082909686 9.14073258997472 "CHS" "EAS"
"HG00607" -91.9447459749274 -114.848800905801 6.78373428020964 "CHS" "EAS"
"HG00608" -92.4806855874401 -115.710516011623 9.68773050616346 "CHS" "EAS"
"HG00610" -91.350991717144 -113.586704797848 7.12252774809815 "CHS" "EAS"
"HG00611" -94.001732770655 -114.88757004614 10.5398118967256 "CHS" "EAS"
"HG00613" -92.7164242840283 -113.914725338551 7.25247924197539 "CHS" "EAS"
"HG00614" -90.8976083640645 -113.179819948615 7.90541939284098 "CHS" "EAS"
"HG00619" -93.3532761950391 -113.178449088619 11.1509184451679 "CHS" "EAS"
"HG00620" -94.1940021307631 -115.124528354501 9.16619150769549 "CHS" "EAS"
"HG00622" -92.033261185223 -114.709708485059 11.0771971114648 "CHS" "EAS"
"HG00623" -90.7139543832875 -115.283012381114 7.65003354984178 "CHS" "EAS"
"HG00625" -91.2398208516513 -111.692201598428 5.58347039759862 "CHS" "EAS"
"HG00626" -93.9535609217926 -116.169228642526 9.40558619517539 "CHS" "EAS"
"HG00628" -92.6124527037375 -112.975816110648 11.058996689397 "CHS" "EAS"
"HG00629" -93.4672470832709 -113.878790240191 10.9113817385564 "CHS" "EAS"
"HG00631" -92.9100496488856 -114.861832650409 9.38414146834612 "CHS" "EAS"
"HG00632" -92.8447715389212 -112.425393223404 7.90032609205291 "CHS" "EAS"
"HG00634" -92.3523007273854 -114.264485108225 8.24800780701155 "CHS" "EAS"
"HG00637" -12.9135349192779 57.3955638800564 28.912759573526 "PUR" "AMR"
"HG00638" -8.18466469207791 56.7364530908678 29.0199858289591 "PUR" "AMR"
"HG00640" -28.7965846019898 72.0309036509056 26.4243026241016 "PUR" "AMR"
"HG00641" -26.8626512038846 64.2350750241946 32.4341856233952 "PUR" "AMR"
"HG00650" -92.6385364180858 -113.781355809574 6.34122842196226 "CHS" "EAS"
"HG00651" -93.2669695088694 -114.211784310023 9.84268575939424 "CHS" "EAS"
"HG00653" -92.4600153522438 -114.21467548304 6.84788174103297 "CHS" "EAS"
"HG00654" -91.941830096605 -112.182374834608 7.45474574437623 "CHS" "EAS"
"HG00656" -89.9028352255587 -114.662204659306 6.6262318995013 "CHS" "EAS"
"HG00657" -92.5216312218577 -113.49322034183 8.50436212959125 "CHS" "EAS"
"HG00662" -92.4526776762925 -113.864172406366 6.61244355186466 "CHS" "EAS"
"HG00663" -91.4843399097227 -112.687519884956 7.70465096338352 "CHS" "EAS"
"HG00671" -92.9199552056895 -113.745464219672 5.68145197246192 "CHS" "EAS"
"HG00672" -92.7662861422505 -115.002893699793 8.73755763126232 "CHS" "EAS"
"HG00674" -92.1912831910575 -115.229551172815 7.77780284371785 "CHS" "EAS"
"HG00675" -92.8027143558582 -114.443840333939 6.60196732996444 "CHS" "EAS"
"HG00683" -90.816339765908 -112.352498950687 7.58738428736565 "CHS" "EAS"
"HG00684" -92.8835330380109 -113.950409384274 7.22981036706528 "CHS" "EAS"
"HG00689" -92.354755815841 -114.734625789963 8.87836782277371 "CHS" "EAS"
"HG00690" -92.3218775228012 -112.197761801238 7.75586132741417 "CHS" "EAS"
"HG00692" -91.9988769869403 -112.814017464612 7.74878220886183 "CHS" "EAS"
